Title	Artist
We Don't Talk About Bruno	Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast
Easy On Me	Adele
Heat Waves	Glass Animals
Stay	The Kid LAROI & Justin Bieber
Super Gremlin	Kodak Black
abcdefu	GAYLE
Shivers	Ed Sheeran
Surface Pressure	Jessica Darrow
Pushin P	Gunna & Future Featuring Young Thug
Need To Know	Doja Cat
Cold Heart (PNAU Remix)	Elton John & Dua Lipa
Ghost	Justin Bieber
Bad Habits	Ed Sheeran
Industry Baby	Lil Nas X & Jack Harlow
Thats What I Want	Lil Nas X
Smokin Out The Window	Silk Sonic (Bruno Mars & Anderson .Paak)
Levitating	Dua Lipa
Hrs And Hrs	Muni Long
Save Your Tears	The Weeknd & Ariana Grande
The Family Madrigal	Stephanie Beatriz, Olga Merediz & Encanto Cast
Oh My God	Adele
One Right Now	Post Malone & The Weeknd
Good 4 U	Olivia Rodrigo
Buy Dirt	Jordan Davis Featuring Luke Bryan
Better Days	NEIKED X Mae Muller X Polo G
I Hate U	SZA
Knife Talk	Drake Featuring 21 Savage & Project Pat
You Should Probably Leave	Chris Stapleton
Fancy Like	Walker Hayes
Love Nwantiti (Ah Ah Ah)	CKay
What Else Can I Do?	Diane Guerrero & Stephanie Beatriz
Fingers Crossed	Lauren Spencer-Smith
Essence	Wizkid Featuring Justin Bieber & Tems
Big Energy	Latto
Kiss Me More	Doja Cat Featuring SZA
You Right	Doja Cat & The Weeknd
Woman	Doja Cat
Dos Oruguitas	Sebastian Yatra
Sand In My Boots	Morgan Wallen
Sacrifice	The Weeknd
Meet Me At Our Spot	THE ANXIETY: WILLOW & Tyler Cole
If I Didn't Love You	Jason Aldean & Carrie Underwood
Enemy	Imagine Dragons X JID
Thinking 'Bout You	Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
'Til You Can't	Cody Johnson
Freedom Was A Highway	Jimmie Allen & Brad Paisley
One Mississippi	Kane Brown
To Be Loved By You	Parker McCollum
Light Switch	Charlie Puth
Waiting On A Miracle	Stephanie Beatriz
Rumors	Gucci Mane Featuring Lil Durk
P Power	Gunna Featuring Drake
23	Sam Hunt
Broadway Girls	Lil Durk Featuring Morgan Wallen
Half Of My Hometown	Kelsea Ballerini Featuring Kenny Chesney
AA	Walker Hayes
High	The Chainsmokers
Chosen	Blxst & Tyga Featuring Ty Dolla $ign
Who Want Smoke??	Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage
Heart On Fire	Eric Church
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift
Cold December	Rod Wave
Beers On Me	Dierks Bentley, Breland & HARDY
Whiskey And Rain	Michael Ray
For Tonight	Giveon
Doin' This	Luke Combs
Pressure	Ari Lennox
Scorpio	Moneybagg Yo
Never Say Never	Cole Swindell / Lainey Wilson
Do It To It	Acraze Featuring Cherish
I Love You So	The Walters
Johnny P's Caddy	Benny The Butcher & J. Cole
By Your Side	Rod Wave
All Of You	Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast
All Too Well (Taylor's Version)	Taylor Swift
Too Easy	Gunna & Future
Circles Around This Town	Maren Morris
Me Or Sum	Nardo Wick, Lil Baby & Future
Peru	Fireboy DML & Ed Sheeran
Beautiful Lies	Yung Bleu & Kehlani
Get Into It (Yuh)	Doja Cat
If I Was A Cowboy	Miranda Lambert
No Switch	YoungBoy Never Broke Again
Take My Breath	The Weeknd
Come Back As A Country Boy	Blake Shelton
Shotta Flow 6	NLE Choppa
Iffy	Chris Brown
Home Sweet	Russell Dickerson
Vice City	XXXTENTACION
Fair Trade	Drake Featuring Travis Scott
Numb Little Bug	Em Beihold
Never Wanted To Be That Girl	Carly Pearce & Ashley McBryde
Flower Shops	ERNEST Featuring Morgan Wallen
Infinity	Jaymes Young
The Motto	Tiesto & Ava Max
No Love	Summer Walker & SZA
Megan's Piano	Megan Thee Stallion
Eazy	The Game & Kanye West
Fish Scale	YoungBoy Never Broke Again
Colombia, Mi Encanto	Carlos Vives
